year,mm-dd,location,parameter,unit,datatype,value
2015,23-May,BON,spillpct,%,Spill Percent,49.85
2015,24-May,BON,spillpct,%,Spill Percent,46.998
2015,25-May,BON,spillpct,%,Spill Percent,45.904
2015,26-May,BON,spillpct,%,Spill Percent,46.748
2015,27-May,BON,spillpct,%,Spill Percent,45.812
2015,28-May,BON,spillpct,%,Spill Percent,46.258
2015,29-May,BON,spillpct,%,Spill Percent,48.414
2015,30-May,BON,spillpct,%,Spill Percent,57.612
2015,31-May,BON,spillpct,%,Spill Percent,57.045
2015,1-Jun,BON,spillpct,%,Spill Percent,49.702
2015,20-Apr,TDA,spillpct,%,Spill Percent,39.909
2015,21-Apr,TDA,spillpct,%,Spill Percent,39.892
2015,22-Apr,TDA,spillpct,%,Spill Percent,39.958
2015,23-Apr,TDA,spillpct,%,Spill Percent,40.039
2015,24-Apr,TDA,spillpct,%,Spill Percent,40.028
2015,25-Apr,TDA,spillpct,%,Spill Percent,40.029
2015,26-Apr,TDA,spillpct,%,Spill Percent,40.028
2015,27-Apr,TDA,spillpct,%,Spill Percent,40.168
2015,28-Apr,TDA,spillpct,%,Spill Percent,39.891
2015,29-Apr,TDA,spillpct,%,Spill Percent,39.985
2015,30-Apr,TDA,spillpct,%,Spill Percent,40.15
2015,1-May,TDA,spillpct,%,Spill Percent,39.88
2015,2-May,TDA,spillpct,%,Spill Percent,40.024
2015,3-May,TDA,spillpct,%,Spill Percent,39.927
2015,4-May,TDA,spillpct,%,Spill Percent,39.976
2015,5-May,TDA,spillpct,%,Spill Percent,40.013
2015,6-May,TDA,spillpct,%,Spill Percent,40.102
2015,7-May,TDA,spillpct,%,Spill Percent,39.987
2015,8-May,TDA,spillpct,%,Spill Percent,39.922
2015,9-May,TDA,spillpct,%,Spill Percent,40.028
2015,10-May,TDA,spillpct,%,Spill Percent,39.925
2015,11-May,TDA,spillpct,%,Spill Percent,40.031
2015,12-May,TDA,spillpct,%,Spill Percent,40.04
2015,13-May,TDA,spillpct,%,Spill Percent,40.035
2015,14-May,TDA,spillpct,%,Spill Percent,39.966
2015,15-May,TDA,spillpct,%,Spill Percent,39.828
2015,16-May,TDA,spillpct,%,Spill Percent,40.037
2015,17-May,TDA,spillpct,%,Spill Percent,40
2015,18-May,TDA,spillpct,%,Spill Percent,40.063
2015,19-May,TDA,spillpct,%,Spill Percent,39.946
2015,20-May,TDA,spillpct,%,Spill Percent,40.022
2015,21-May,TDA,spillpct,%,Spill Percent,40.258
2015,22-May,TDA,spillpct,%,Spill Percent,39.925
2015,23-May,TDA,spillpct,%,Spill Percent,39.915
2015,24-May,TDA,spillpct,%,Spill Percent,39.884
2015,25-May,TDA,spillpct,%,Spill Percent,40.062
2015,26-May,TDA,spillpct,%,Spill Percent,39.858
2015,27-May,TDA,spillpct,%,Spill Percent,40.218
2015,28-May,TDA,spillpct,%,Spill Percent,39.97
2015,29-May,TDA,spillpct,%,Spill Percent,40.043
2015,30-May,TDA,spillpct,%,Spill Percent,40.132
2015,31-May,TDA,spillpct,%,Spill Percent,40.056
2015,1-Jun,TDA,spillpct,%,Spill Percent,39.879
2014,20-Apr,BON,spillpct,%,Spill Percent,36.951
2014,21-Apr,BON,spillpct,%,Spill Percent,39.248
2014,22-Apr,BON,spillpct,%,Spill Percent,39.21
2014,23-Apr,BON,spillpct,%,Spill Percent,37.193
2014,24-Apr,BON,spillpct,%,Spill Percent,37.985
2014,25-Apr,BON,spillpct,%,Spill Percent,37.32
2014,26-Apr,BON,spillpct,%,Spill Percent,37.088
2014,27-Apr,BON,spillpct,%,Spill Percent,38.575
2014,28-Apr,BON,spillpct,%,Spill Percent,34.349
2014,29-Apr,BON,spillpct,%,Spill Percent,36.604
2014,30-Apr,BON,spillpct,%,Spill Percent,36.104
2014,1-May,BON,spillpct,%,Spill Percent,36.647
2014,2-May,BON,spillpct,%,Spill Percent,39.844
2014,3-May,BON,spillpct,%,Spill Percent,37.635
2014,4-May,BON,spillpct,%,Spill Percent,33.917
2014,5-May,BON,spillpct,%,Spill Percent,37.206
2014,6-May,BON,spillpct,%,Spill Percent,39.918
2014,7-May,BON,spillpct,%,Spill Percent,34.413
2014,8-May,BON,spillpct,%,Spill Percent,34.832
2014,9-May,BON,spillpct,%,Spill Percent,35.608
2014,10-May,BON,spillpct,%,Spill Percent,35.967
2014,11-May,BON,spillpct,%,Spill Percent,35.975
2014,12-May,BON,spillpct,%,Spill Percent,38.581
2014,13-May,BON,spillpct,%,Spill Percent,38.226
2014,14-May,BON,spillpct,%,Spill Percent,36.305
2014,15-May,BON,spillpct,%,Spill Percent,41.108
2014,16-May,BON,spillpct,%,Spill Percent,38.319
2014,17-May,BON,spillpct,%,Spill Percent,40.101
2014,18-May,BON,spillpct,%,Spill Percent,43.383
2014,19-May,BON,spillpct,%,Spill Percent,45.267
2014,20-May,BON,spillpct,%,Spill Percent,46.104
2014,21-May,BON,spillpct,%,Spill Percent,42.951
2014,22-May,BON,spillpct,%,Spill Percent,39.86
2014,23-May,BON,spillpct,%,Spill Percent,40.817
2014,24-May,BON,spillpct,%,Spill Percent,43.649
2014,25-May,BON,spillpct,%,Spill Percent,43.952
2014,26-May,BON,spillpct,%,Spill Percent,43.126
2014,27-May,BON,spillpct,%,Spill Percent,45.572
2014,28-May,BON,spillpct,%,Spill Percent,45.688
2014,29-May,BON,spillpct,%,Spill Percent,43.942
2014,30-May,BON,spillpct,%,Spill Percent,43.525
2014,31-May,BON,spillpct,%,Spill Percent,40.38
2014,1-Jun,BON,spillpct,%,Spill Percent,39.482
2014,20-Apr,JDA,spillpct,%,Spill Percent,29.728
2014,21-Apr,JDA,spillpct,%,Spill Percent,32.721
2014,22-Apr,JDA,spillpct,%,Spill Percent,30.477
2014,23-Apr,JDA,spillpct,%,Spill Percent,33.73
2014,24-Apr,JDA,spillpct,%,Spill Percent,39.19
2014,25-Apr,JDA,spillpct,%,Spill Percent,40.546
2014,26-Apr,JDA,spillpct,%,Spill Percent,38.558
2014,27-Apr,JDA,spillpct,%,Spill Percent,35.308
2014,28-Apr,JDA,spillpct,%,Spill Percent,30.577
2014,29-Apr,JDA,spillpct,%,Spill Percent,29.843
2014,30-Apr,JDA,spillpct,%,Spill Percent,33.812
2014,1-May,JDA,spillpct,%,Spill Percent,39.907
2014,2-May,JDA,spillpct,%,Spill Percent,38.778
2014,3-May,JDA,spillpct,%,Spill Percent,39.148
2014,4-May,JDA,spillpct,%,Spill Percent,38.212
2014,5-May,JDA,spillpct,%,Spill Percent,40.145
2014,6-May,JDA,spillpct,%,Spill Percent,36.427
2014,7-May,JDA,spillpct,%,Spill Percent,29.891
2014,8-May,JDA,spillpct,%,Spill Percent,31.287
2014,9-May,JDA,spillpct,%,Spill Percent,39.963
2014,10-May,JDA,spillpct,%,Spill Percent,38.111
2014,11-May,JDA,spillpct,%,Spill Percent,29.917
2014,12-May,JDA,spillpct,%,Spill Percent,33.924
2014,13-May,JDA,spillpct,%,Spill Percent,39.806
2014,14-May,JDA,spillpct,%,Spill Percent,37.633
2014,15-May,JDA,spillpct,%,Spill Percent,32.101
2014,16-May,JDA,spillpct,%,Spill Percent,42.239
2014,17-May,JDA,spillpct,%,Spill Percent,39.425
2014,18-May,JDA,spillpct,%,Spill Percent,39.326
2014,19-May,JDA,spillpct,%,Spill Percent,39.954
2014,20-May,JDA,spillpct,%,Spill Percent,41.265
2014,21-May,JDA,spillpct,%,Spill Percent,41.592
2014,22-May,JDA,spillpct,%,Spill Percent,43.169
2014,23-May,JDA,spillpct,%,Spill Percent,41.458
2014,24-May,JDA,spillpct,%,Spill Percent,40.058
2014,25-May,JDA,spillpct,%,Spill Percent,40.832
2014,26-May,JDA,spillpct,%,Spill Percent,41.743
2014,27-May,JDA,spillpct,%,Spill Percent,40.975
2014,28-May,JDA,spillpct,%,Spill Percent,38.396
2014,29-May,JDA,spillpct,%,Spill Percent,39.314
2014,30-May,JDA,spillpct,%,Spill Percent,39.246
2014,31-May,JDA,spillpct,%,Spill Percent,34.931
2014,1-Jun,JDA,spillpct,%,Spill Percent,35.817
2014,20-Apr,TDA,spillpct,%,Spill Percent,40.026
2014,21-Apr,TDA,spillpct,%,Spill Percent,39.836
2014,22-Apr,TDA,spillpct,%,Spill Percent,40.897
2014,23-Apr,TDA,spillpct,%,Spill Percent,45.663
